,Dataset,MAE,MSE,RMSE
0,train,0.011351992439820305,0.00029262926237480025,0.017106409979151097
1,valid,0.011569250172983481,0.00028873737366453194,0.016992273940368664
2,total,0.011395454916972187,0.0002918506888267615,0.0170836380442446
